City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,klaksvik,62.2266,-6.589,40.12,66,95,26.71,FO,12/05/22
116,bulgan,48.8125,103.5347,-6.52,81,1,3.96,MN,12/05/22
117,kavieng,-2.5744,150.7967,80.38,79,99,4.92,PG,12/05/22
118,college,64.8569,-147.8028,14.58,87,75,0.0,US,12/05/22
119,westport,41.1415,-73.3579,48.56,46,0,4.61,US,12/05/22
120,cuamba,-14.8031,36.5372,74.44,64,16,3.96,MZ,12/05/22
121,seymchan,62.8833,152.4333,-52.42,99,76,0.78,RU,12/05/22
122,praia da vitoria,38.7333,-27.0667,60.76,91,91,9.42,PT,12/05/22
123,bambous virieux,-20.3428,57.7575,77.25,78,40,10.36,MU,12/05/22
124,nanortalik,60.1432,-45.2371,33.66,76,92,17.34,GL,12/05/22
125,pisco,-13.7,-76.2167,70.02,78,20,10.36,PE,12/05/22
126,wajima,37.4,136.9,46.74,83,100,21.54,JP,12/05/22
127,carnarvon,-24.8667,113.6333,68.99,77,58,16.69,AU,12/05/22
128,bredasdorp,-34.5322,20.0403,59.79,66,100,1.16,ZA,12/05/22
129,port blair,11.6667,92.75,80.65,83,100,20.76,IN,12/05/22
130,masvingo,-20.0637,30.8277,76.08,34,3,6.6,ZW,12/05/22
131,esperance,-33.8667,121.9,60.19,83,100,3.65,AU,12/05/22
132,naze,28.3667,129.4833,60.42,74,99,19.62,JP,12/05/22
133,camana,-16.6228,-72.7111,71.62,71,75,8.03,PE,12/05/22
134,vardo,70.3705,31.1107,26.58,80,100,12.66,NO,12/05/22
135,suleja,9.1758,7.1808,81.05,14,81,8.5,NG,12/05/22
136,skjervoy,70.0311,20.9714,32.0,100,100,7.94,NO,12/05/22
137,presidencia roque saenz pena,-26.7852,-60.4388,103.73,12,0,6.53,AR,12/05/22
138,codrington,-38.2667,141.9667,52.9,73,9,11.54,AU,12/05/22
139,ossora,59.2353,163.0719,8.91,77,68,12.57,RU,12/05/22
140,jalu,29.0331,21.5482,65.37,35,0,8.1,LY,12/05/22
141,mattru,7.6244,-11.8332,76.69,89,100,2.93,SL,12/05/22
142,ponta delgada,37.7333,-25.6667,62.51,88,40,14.97,PT,12/05/22
143,faanui,-16.4833,-151.75,79.5,77,61,17.58,PF,12/05/22
144,ust-nera,64.5667,143.2,-41.19,98,100,2.26,RU,12/05/22
145,maceio,-9.6658,-35.7353,76.44,94,40,16.11,BR,12/05/22
146,tabuk,17.4189,121.4443,72.63,94,100,3.89,PH,12/05/22
147,barcelos,41.5388,-8.6151,55.54,85,100,5.06,PT,12/05/22
148,svetlyy,54.675,20.1347,30.25,90,100,8.05,RU,12/05/22
149,kruisfontein,-34.0033,24.7314,59.88,87,1,8.19,ZA,12/05/22
150,comarapa,-17.9,-64.4833,76.86,29,98,9.17,BO,12/05/22
